time_ms,raw_phone_ax,raw_phone_ay,raw_phone_az,calib_veh_ax_fwd,calib_veh_ay_lat,calib_veh_az_up,raw_phone_gx,raw_phone_gy,raw_phone_gz,calib_veh_gx_roll,calib_veh_gy_pitch,calib_veh_gz_yaw
48,1.0897,0.5958,10.4155,-0.8677183307670057,0.4119683907960075,10.445210138338805,-0.0033,-0.0024,0.0596,0.005625048294663429,-0.001167463945038617,0.05946264361813664
2048,-0.357,0.1054,9.9802,0.42854815093725923,-0.3739523607299663,9.970930742182583,0.0309,0.0012,-0.0162,-0.02132157025784254,0.022863714227546007,-0.015534839230030774
4048,-0.618,0.4526,9.6697,0.3235045221857727,-0.7964444384208416,9.661826600233466,0.0156,-0.0134,-0.004,3.9168339967727664e-05,0.02057773942090571,-0.003933840633183718
6049,-0.0965,-0.0943,9.588,0.4017631303191185,-0.04478891899771989,9.580424435410276,-0.0168,-0.0128,-0.004,0.02050396221280098,-0.004539644035324453,-0.0045890266835689544
8048,0.0824,-0.2841,9.7578,0.43579720564335583,0.21381689597433434,9.750206661534682,-0.0021,-0.0134,0.0247,0.01226980902031064,0.006972012454131619,0.024390630289912223
10049,0.0479,-0.1182,9.7734,0.3319243101850152,0.08024768774816765,9.768265106204153,0.0016,-0.0165,0.0107,0.011855311159044505,0.0118457427975256,0.01041297130472958
12048,0.052,0.1032,9.9556,0.16542481524646283,-0.06027397625092418,9.954713999977708,-0.0082,-0.0122,-0.0058,0.014442392952740194,0.0016427931577898565,-0.006199880243092775
14048,-0.0393,-0.0823,9.7025,0.3588637185744941,-0.009266044841194527,9.696285802558437,0.0064,0.0006,0.0076,-0.004378649505972863,0.004471826967783272,0.0077401676096022125
16048,0.0127,-0.0988,9.9868,0.34580585025250915,0.040133345326222473,9.981227788337321,0.0297,-0.0177,0.0229,-0.005034532592445613,0.03402794766980223,0.023163382184132934
18048,-0.1014,0.0576,9.7071,0.2923457057006657,-0.14706649782783351,9.702283181212843,-0.0229,0.0104,-0.0211,0.0062637103043496605,-0.02412740018893965,-0.021363859906047583
20048,-0.0932,0.3677,9.701,0.05026441612094639,-0.34113634763183076,9.702288048083709,-0.0137,-0.0421,-0.0357,0.039974520943313836,0.016862573481025173,-0.03677337753511965
22049,0.1993,0.4008,10.4647,-0.14257030249759553,-0.14182055901973503,10.472338409989328,0.0462,0.0147,0.0858,-0.03865693408995867,0.025478527201619,0.08699802520014346
24047,-0.2347,0.051,9.9071,0.3890412260480225,-0.24521413438520392,9.899335126906633,0.0284,0.0269,-0.0083,-0.039096664569526915,0.004324917746288704,-0.007197631608322263
26049,-0.0677,-0.0712,9.8941,0.3740790560089052,-0.03875485019688494,9.887438189844042,-0.0168,0.0,0.0333,0.011777791395038366,-0.012934170783357693,0.03294117327332497
